File,Source,Year,Ceremony,Category,Nominee (Person),Title,Winner
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,The Banshees of Inisherin,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Director - Motion Picture,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Director - Motion Picture,Martin McDonagh,The Banshees of Inisherin,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Director - Motion Picture,Steven Spielberg,The Fabelmans,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Screenplay - Motion Picture,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Screenplay - Motion Picture,Martin McDonagh,The Banshees of Inisherin,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2022,80,Best Screenplay - Motion Picture,"Steven Spielberg, Tony Kushner",The Fabelmans,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Motion Picture - Drama,,Oppenheimer,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Motion Picture - Drama,,Maestro,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Motion Picture - Drama,,Killers of the Flower Moon,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Motion Picture - Musical or Comedy,,Poor Things,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,Maestro,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Lily Gladstone,Killers of the Flower Moon,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Cillian Murphy,Oppenheimer,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Killers of the Flower Moon,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Bradley Cooper,Maestro,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Poor Things,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Director - Motion Picture,Bradley Cooper,Maestro,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Director - Motion Picture,Yorgos Lanthimos,Poor Things,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Director - Motion Picture,Christopher Nolan,Oppenheimer,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Director - Motion Picture,Martin Scorsese,Killers of the Flower Moon,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Screenplay - Motion Picture,Christopher Nolan,Oppenheimer,FALSE
