source,year,ceremony,category,nominee (person),title,winner
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Lady Bird,TRUE
golden globes,2017,75,Best Screenplay - Motion Picture,Greta Gerwig,Lady Bird,FALSE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren,"Leisure Seeker, The",FALSE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Molly's Game,FALSE
golden globes,2017,75,Best Screenplay - Motion Picture,Aaron Sorkin,Molly's Game,FALSE
golden globes,2017,75,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Phantom Thread,FALSE
golden globes,2017,75,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Roman J. Israel, Esq.",FALSE
golden globes,2017,75,Best Motion Picture - Musical or Comedy,,The Greatest Showman,FALSE
golden globes,2017,75,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,The Greatest Showman,FALSE
golden globes,2017,75,Best Motion Picture - Drama,,The Post,FALSE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Post,FALSE
golden globes,2017,75,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,The Post,FALSE
golden globes,2017,75,Best Director - Motion Picture,Steven Spielberg,The Post,FALSE
golden globes,2017,75,Best Screenplay - Motion Picture,"Liz Hannah, Josh Singer",The Post,FALSE
golden globes,2017,75,Best Motion Picture - Drama,,The Shape of Water,FALSE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Drama,Sally Hawkins,The Shape of Water,FALSE
golden globes,2017,75,Best Director - Motion Picture,Guillermo del Toro,The Shape of Water,TRUE
golden globes,2017,75,Best Screenplay - Motion Picture,"Guillermo del Toro, Vanessa Taylor",The Shape of Water,FALSE
golden globes,2017,75,Best Motion Picture - Drama,,"Three Billboards Outside Ebbing, Missouri",TRUE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",TRUE
golden globes,2017,75,Best Director - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",FALSE
golden globes,2017,75,Best Screenplay - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",TRUE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Victoria & Abdul,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Drama,Willem Dafoe,At Eternity's Gate,FALSE
golden globes,2018,76,Best Motion Picture - Drama,,Black Panther,FALSE
golden globes,2018,76,Best Motion Picture - Drama,,BlacKkKlansman,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Drama,John David Washington,BlacKkKlansman,FALSE
golden globes,2018,76,Best Director - Motion Picture,Spike Lee,BlacKkKlansman,FALSE
golden globes,2018,76,Best Motion Picture - Drama,,Bohemian Rhapsody,TRUE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Drama,Rami Malek,Bohemian Rhapsody,TRUE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Drama,Lucas Hedges,Boy Erased,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Drama,Melissa McCarthy,Can You Ever Forgive Me?,FALSE
golden globes,2018,76,Best Motion Picture - Musical or Comedy,,Crazy Rich Asians,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Constance Wu,Crazy Rich Asians,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Destroyer,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Elsie Fisher,Eighth Grade,FALSE
golden globes,2018,76,Best Motion Picture - Musical or Comedy,,"Favourite, The",FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Colman,"Favourite, The",TRUE
golden globes,2018,76,Best Screenplay - Motion Picture,"Deborah Davis, Tony McNamara","Favourite, The",FALSE
golden globes,2018,76,Best Motion Picture - Musical or Comedy,,Green Book,TRUE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Viggo Mortensen,Green Book,FALSE
golden globes,2018,76,Best Director - Motion Picture,Peter Farrelly,Green Book,FALSE
golden globes,2018,76,Best Screenplay - Motion Picture,"Nick Vallelonga, Brian Currie, Peter Farrelly",Green Book,TRUE
golden globes,2018,76,Best Motion Picture - Drama,,If Beale Street Could Talk,FALSE
golden globes,2018,76,Best Screenplay - Motion Picture,Barry Jenkins,If Beale Street Could Talk,FALSE
golden globes,2018,76,Best Motion Picture - Musical or Comedy,,Mary Poppins Returns,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emily Blunt,Mary Poppins Returns,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lin-Manuel Miranda,Mary Poppins Returns,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Redford,"Old Man & the Gun, The",FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Drama,Rosamund Pike,"Private War, A",FALSE
golden globes,2018,76,Best Director - Motion Picture,Alfonso Cuarón,Roma,TRUE
golden globes,2018,76,Best Screenplay - Motion Picture,Alfonso Cuarón,Roma,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Stan & Ollie,FALSE
golden globes,2018,76,Best Motion Picture - Drama,,"Star Is Born, A (2018)",FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Drama,Lady Gaga,"Star Is Born, A (2018)",FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Drama,Bradley Cooper,"Star Is Born, A (2018)",FALSE
golden globes,2018,76,Best Director - Motion Picture,Bradley Cooper,"Star Is Born, A (2018)",FALSE
