Source,Year,Ceremony,Category,Nominee (Person),Nominee (Film),Winner
oscars,2021,94th,Actor in a Leading Role ,Benedict Cumberbatch,The Power of the Dog,FALSE
oscars,2021,94th,Actor in a Leading Role ,Andrew Garfield,"tick, tick... BOOM!",FALSE
oscars,2021,94th,Actor in a Leading Role ,Will Smith,King Richard,TRUE
oscars,2021,94th,Actor in a Leading Role ,Denzel Washington,The Tragedy of Macbeth,FALSE
oscars,2021,94th,Actress in a Leading Role,Jessica Chastain,The Eyes of Tammy Faye,TRUE
oscars,2021,94th,Actress in a Leading Role,Olivia Colman,The Lost Daughter,FALSE
oscars,2021,94th,Actress in a Leading Role,Penelope Cruz,Parallel Mothers,FALSE
oscars,2021,94th,Actress in a Leading Role,Nicole Kidman,Being the Ricardos,FALSE
oscars,2021,94th,Actress in a Leading Role,Kristen Stewart,Spencer,FALSE
oscars,2021,94th,Directing,Kenneth Branagh,Belfast,FALSE
oscars,2021,94th,Directing,Ryusuke Hamaguchi,Drive My Car,FALSE
oscars,2021,94th,Directing,Paul Thomas Anderson,Licorice Pizza,FALSE
oscars,2021,94th,Directing,Jane Campion,The Power of the Dog,TRUE
oscars,2021,94th,Directing,Steven Spielberg,West Side Story,FALSE
oscars,2021,94th,Best Picture,,Belfast,FALSE
oscars,2021,94th,Best Picture,,CODA,TRUE
oscars,2021,94th,Best Picture,,Don't Look Up,FALSE
oscars,2021,94th,Best Picture,,Drive My Car,FALSE
oscars,2021,94th,Best Picture,,Dune,FALSE
oscars,2021,94th,Best Picture,,King Richard,FALSE
oscars,2021,94th,Best Picture,,Licorice Pizza,FALSE
oscars,2021,94th,Best Picture,,Nightmare Alley,FALSE
oscars,2021,94th,Best Picture,,The Power of the Dog,FALSE
oscars,2021,94th,Best Picture,,West Side Story,FALSE
oscars,2021,94th,Writing (Adapted Screenplay),Sian Heder,CODA,TRUE
oscars,2021,94th,Writing (Adapted Screenplay),"Jon Spaihts, Denis Villeneuve, Eric Roth",Dune,FALSE
oscars,2021,94th,Writing (Adapted Screenplay),Maggie Gyllenhaal,The Lost Daughter,FALSE
oscars,2021,94th,Writing (Adapted Screenplay),Jane Campion,The Power of the Dog,FALSE
oscars,2021,94th,Writing (Adapted Screenplay),"Ryusuke Hamaguchi, Takamasa Oe",drive My Car,FALSE
oscars,2021,94th,Writing (Original Screenplay),Kenneth Branagh,Belfast,FALSE
oscars,2021,94th,Writing (Original Screenplay),Adam McKay,Don't Look Up,FALSE
oscars,2021,94th,Writing (Original Screenplay),Zach Baylin ,King Richard,FALSE
oscars,2021,94th,Writing (Original Screenplay),Paul Thomas Anderson,Licorice Pizza,FALSE
oscars,2021,94th,Writing (Original Screenplay),"Eskil Vogt, Joachim Trier",The Worst Person in the World,TRUE
oscars,2022,95th,Actor in a Leading Role ,Austin Butler,Elvis,FALSE
oscars,2022,95th,Actor in a Leading Role ,Colin Farrell,The Banshees of Inisherin,FALSE
oscars,2022,95th,Actor in a Leading Role ,Brendan Fraser,The Whale,TRUE
oscars,2022,95th,Actor in a Leading Role ,Paul Mescal,Aftersun,FALSE
oscars,2022,95th,Actor in a Leading Role ,Bill Nighy,Living,FALSE
oscars,2022,95th,Actress in a Leading Role,Cate Blanchett,Tar,FALSE
oscars,2022,95th,Actress in a Leading Role,Ana de Armas,Blonde,FALSE
oscars,2022,95th,Actress in a Leading Role,Andrea Riseborough,To Leslie,FALSE
oscars,2022,95th,Actress in a Leading Role,Michelle Williams,The Fabelmans,FALSE
oscars,2022,95th,Actress in a Leading Role,Michelle Yeoh,Everything Everywhere All at Once,TRUE
oscars,2022,95th,Directing,Martin McDonagh,The Banshees of Inisherin,FALSE
oscars,2022,95th,Directing,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,TRUE
oscars,2022,95th,Directing,Steven Spielberg,The Fabelmans,FALSE
oscars,2022,95th,Directing,Todd Field,Tar,FALSE
oscars,2022,95th,Directing,Ruben Ostlund,Triangle of Sadness,FALSE
oscars,2022,95th,Best Picture,,All Quiet on the Western Front,FALSE
oscars,2022,95th,Best Picture,,Avatar: The Way of Water,FALSE
oscars,2022,95th,Best Picture,,The Banshees of Inisherin,FALSE
oscars,2022,95th,Best Picture,,Elvis,FALSE
oscars,2022,95th,Best Picture,,Everything Everywhere All at Once,TRUE
oscars,2022,95th,Best Picture,,The Fabelmans,FALSE
oscars,2022,95th,Best Picture,,Tar,FALSE
oscars,2022,95th,Best Picture,,Top Gun: Maverick,FALSE
oscars,2022,95th,Best Picture,,Triangle of Sadness,FALSE
oscars,2022,95th,Best Picture,,Women Talking,FALSE
oscars,2022,95th,Writing (Adapted Screenplay),"Edward Berger, Lesley Paterson, Ian Stokell",All Quiet on the Western Front,FALSE
oscars,2022,95th,Writing (Adapted Screenplay),Rian Johnson,Glass Onion: A Knives Out Mystery,FALSE
oscars,2022,95th,Writing (Adapted Screenplay),Kazuo Ishiguro,Living,FALSE
oscars,2022,95th,Writing (Adapted Screenplay),"Ehren Kruger, Eric Watten Singer, Christopher McQuarrie",Top Gun: Maverick,FALSE
oscars,2022,95th,Writing (Adapted Screenplay),Sarah Polley,Women Talking,TRUE
oscars,2022,95th,Writing (Original Screenplay),Martin McDonagh,The Banshees of Inisherin,FALSE
oscars,2022,95th,Writing (Original Screenplay),"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,TRUE
oscars,2022,95th,Writing (Original Screenplay),"Steven Spielberg, Tony Kushner",The Fabelmans,FALSE
oscars,2022,95th,Writing (Original Screenplay),Todd Field,Tar,FALSE
oscars,2022,95th,Writing (Original Screenplay),Ruben Ostlund,Triangle of Sadness,FALSE
oscars,2023,96th,Actor in a Leading Role ,Bradley Cooper,Maestro,FALSE
oscars,2023,96th,Actor in a Leading Role ,Colman Domingo,Rustin,FALSE
oscars,2023,96th,Actor in a Leading Role ,Paul Giamatti,The Holdovers,FALSE
oscars,2023,96th,Actor in a Leading Role ,Cillian Murphy,Oppenheimer,TRUE
oscars,2023,96th,Actor in a Leading Role ,Jeffrey Wright,American Fiction,FALSE
oscars,2023,96th,Actress in a Leading Role,Annette Bening,Nyad,FALSE
oscars,2023,96th,Actress in a Leading Role,Lily Gladstone,Killers of the Flower Moon,FALSE
oscars,2023,96th,Actress in a Leading Role,Sandra Huller,Anatomy of a Fall,FALSE
oscars,2023,96th,Actress in a Leading Role,Carey Mulligan,Maestro,FALSE
oscars,2023,96th,Actress in a Leading Role,Emma Stone,Poor Things,TRUE
oscars,2023,96th,Directing,Justin Triet,Anatomy of a Fall,FALSE
oscars,2023,96th,Directing,Martin Scorsese,Killers of the Flower Moon,FALSE
oscars,2023,96th,Directing,Christopher Nolan,Oppenheimer,TRUE
oscars,2023,96th,Directing,Yorgos Lanthimos,Poor Things,FALSE
oscars,2023,96th,Directing,Jonathan Glazer,The Zone of Interest,FALSE
oscars,2023,96th,Best Picture,,American Fiction,FALSE
oscars,2023,96th,Best Picture,,Anatomy of a Fall,FALSE
oscars,2023,96th,Best Picture,,Barbie,FALSE
oscars,2023,96th,Best Picture,,The Holdovers,FALSE
oscars,2023,96th,Best Picture,,Killers of the Flower Moon,FALSE
oscars,2023,96th,Best Picture,,Maestro,FALSE
oscars,2023,96th,Best Picture,,Oppenheimer,TRUE
oscars,2023,96th,Best Picture,,Past Lives,FALSE
oscars,2023,96th,Best Picture,,Poor Things,FALSE
oscars,2023,96th,Best Picture,,The Zone of Interest,FALSE
oscars,2023,96th,Writing (Adapted Screenplay),Cord Jefferson,American Fiction,TRUE
oscars,2023,96th,Writing (Adapted Screenplay),"Greta Gerwig, Noah Baumbach",Barbie,FALSE
oscars,2023,96th,Writing (Adapted Screenplay),Christopher Nolan,Oppenheimer,FALSE
oscars,2023,96th,Writing (Adapted Screenplay),Tony McNamara,Poor Things,FALSE
oscars,2023,96th,Writing (Adapted Screenplay),Jonathan Glazer,The Zone of Interest,FALSE
oscars,2023,96th,Writing (Original Screenplay),"Justin Triet, Arthur Harari",Anatomy of a Fall,TRUE
oscars,2023,96th,Writing (Original Screenplay),David Hemingson,The Holdovers,FALSE
oscars,2023,96th,Writing (Original Screenplay),"Bradley Cooper, Josh Singer",Maestro,FALSE
oscars,2023,96th,Writing (Original Screenplay),Samy Burch,May December,FALSE
oscars,2023,96th,Writing (Original Screenplay),Celine Song,Past Lives,FALSE
oscars,2024,97th,Actor in a Leading Role ,Adrien Brody,The Brutalist,TRUE
oscars,2024,97th,Actor in a Leading Role ,Timothee Chalamet,A Complete Unknown,FALSE
oscars,2024,97th,Actor in a Leading Role ,Colman Domingo,Sing Sing,FALSE
oscars,2024,97th,Actor in a Leading Role ,Ralph Fiennes,Conclave,FALSE
oscars,2024,97th,Actor in a Leading Role ,Sebastian Stan,The Apprentice,FALSE
